1)  3,5,28,7,8,17,31,20,15,27,10,21,26,16,18,1,30,25,2,24,29,13,19,0,12,22,9,14,11,23,6,4,32  :  7865,51556415702
2)  12,15,2,16,5,14,6,24,4,18,11,28,10,27,19,23,29,9,3,21,22,8,32,31,13,30,7,25,1,17,0,26,20  :  7776,94022510418
3)  7,5,2,11,26,30,13,22,4,31,16,3,6,21,24,25,15,12,20,9,14,29,1,32,19,27,0,10,28,23,17,8,18  :  7252,1855832838
4)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
5)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
6)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
7)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
8)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
9)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
10)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
11)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
12)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
13)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
14)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
15)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
16)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
17)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
18)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
19)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
20)  7,5,2,11,26,30,13,22,27,23,18,8,6,21,24,25,15,12,20,9,14,29,1,32,19,4,0,10,28,31,17,3,16  :  6955,02886750365
